X_318,X_1744,X_1176,X_1286,X_248,X_1954,X_2096,X_2841,X_136,X_973,X_1949,X_1162,X_1743,X_240,X_996,X_1347,X_2800,X_189,X_1373,X_1268,X_957,X_1358,X_1786,X_1714,X_1756,X_2785,X_1799,X_380,X_308,X_999,X_954,X_1033,X_1214,X_1534,X_1174,X_1666,X_1078,X_354,X_1646,X_1282,X_1375,X_1750,X_1155,X_1370,X_1204,X_1195,X_2797,X_1770,X_2794,X_1774,X_2703,X_1226,X_2747,X_2027,X_1247,X_1288,X_1300,X_2018,X_2739,X_2097,X_1389,X_1244,X_285,X_1260,X_1668,X_1273,X_1686,X_2788,X_1856,X_1558,X_1416,X_1424,X_1349,X_379,X_1818,X_1854,X_1379,X_1562,X_1792,X_1263,X_1340,X_977,X_1152,X_1736,X_1017,X_1341,X_2793,X_967,X_2766,X_1716,X_1418,X_2048,X_1794,Y_Quality,Y_Class,PRODUCT_ID,PRODUCT_CODE,TIMESTAMP
,2.640819264,40.0,1.2,,0.0001393,2.82e-05,40.06,228.0,28.31935484,4.88e-05,30.23225806,9.91,40.4,6512.0,0.967741935,22.92592593,8.23,0.0,0.3,29.97741935,47.448387100000005,0.024593576,1.954978938,0.033357456,22.18518519,16.0,0.0,,412.0,-5.0,561130.0,20.0,14.81481481,1.0,30.4,-16.0,,28.5,13.0,13.0,0.041464672,189.0,10.0,4.0,3.0,22.59259259,0.5906955939999999,22.2962963,0.047535922,3.2500000000000004e-05,0.0,179.9962963,2.37e-05,22.0,209.0,0.1,2.94e-05,249.9807407,9.29e-06,0.86,2.0,,19.0,30.0,0.3,3.54,22.44444444,2.518694092,9.0,10.41290323,33.19032258,14.19354839,28.0,2.095765193,3.5322591780000003,29.0,38.0,0.040163872,2.0,23.6,163.4,164.9,1.500296141,415.0,23.3,24.0,10.41612903,204.9,0.0,21549.03226,1280.0,0.627316819,0.533433333,1,TRAIN_000,A_31,2022-06-13 5:14
,0.927656361,53.0,0.9,,9.3e-05,1.99e-05,36.54,413.0,28.54375,7.509999999999998e-05,30.1875,4.59,37.0,6527.0,3.0625,25.05,8.0,0.0,0.1,29.934375,47.659375,0.036667716,2.935555777,0.052728541,23.5,16.3,0.0,,415.0,0.0,562910.0,12.4,12.76161616,1.0,30.4,-8.0,,28.5,27.0,16.0,0.0593032879999999,185.6,11.0,4.0,4.0,23.6,0.3467019839999999,24.0,0.0516857009999999,2.01e-05,2.0,179.98,5.58e-06,22.0,178.0,0.1,1.7899999999999998e-05,249.981,5.77e-06,0.73,2.0,,34.0,30.0,0.2,2.51,22.45,2.440663205,9.0,10.403125,33.240625,13.65625,28.0,1.782426123,4.148982104,55.0,44.0,0.028489921,3.0,23.68125,163.4,151.2,1.49990204,400.0,23.4,25.0,10.53125,204.9,0.0,21616.875,1280.0,0.438764219,0.541819048,2,TRAIN_001,A_31,2022-06-13 5:22
,2.545251109,47.0,0.7,,9.47e-05,2.79e-05,40.05,228.0,28.18709677,3.86e-05,30.21612903,9.95,40.5,6543.0,0.096774194,23.96296296,8.23,0.1,0.3,29.93548387,45.72903226,0.028270362,1.865917086,0.040973887,23.0,16.3,0.0,,418.0,-1.0,564700.0,27.9,14.93333333,1.8,30.4,-5.0,,28.5,11.0,16.0,0.051019112,165.5,13.0,5.0,4.0,23.37037037,0.581819612,23.11111111,0.048515828,3.24e-05,3.0,179.9851852,2.78e-05,21.0,187.0,0.1,2.87e-05,249.9814815,1.07e-05,0.53,4.0,,17.0,30.1,0.4,3.52,23.18518519,2.069414863,9.0,10.49032258,33.29354839,13.74193548,28.0,1.848318906,3.207258852,3.0,38.0,0.041638044,10.0,23.71935484,157.8,167.4,1.002180515,411.0,23.49032258,24.0,10.26129032,205.0,0.0,21685.12903,1280.0,0.70499789,0.531266667,1,TRAIN_002,A_31,2022-06-13 5:30
,0.960522908,11.0,1.0,,8.27e-05,1.5399999999999998e-05,40.03,414.0,28.55,4.24e-05,30.184375,4.61,40.5,6563.0,1.5,25.03703704,8.0,0.1,0.2,29.9375,45.79375,0.038325317,2.674553201,0.053568801,23.66666667,15.6,0.0,,422.0,0.0,567020.0,24.5,17.03703704,0.9,30.4,1.0,,28.0,11.0,15.0,0.04988088,165.8,13.0,5.0,3.0,23.59259259,0.386271795,24.03703704,0.052898299,2.89e-05,6.0,179.9703704,5.83e-06,22.0,216.0,0.0,1.7899999999999998e-05,249.9818519,3.33e-06,0.77,3.0,,20.0,30.0,0.1,2.49,22.44444444,2.318630457,10.0,10.534375,33.690625,13.9375,28.0,1.6818750480000002,3.770568632,25.0,38.0,0.023335441,4.0,23.8,157.6,166.7,1.002180511,400.0,23.565625,25.0,10.690625,204.9,0.0,21778.0,1280.0,0.415399016,0.537325397,2,TRAIN_003,A_31,2022-06-13 5:39
,2.657949627,41.0,1.5,,8.98e-05,2.42e-05,40.07,228.0,28.03870968,4.22e-05,30.20322581,9.92,40.6,6662.0,4.870967742,24.0,8.23,0.0,0.1,29.96129032,47.45161289999999,0.033421712,2.054566497,0.02629535,22.92592593,17.0,0.0,,442.0,-1.0,578300.0,26.0,16.74074074,1.0,30.4,9.0,,27.5,17.0,23.0,0.056415372,182.6,15.0,4.0,4.0,23.2962963,0.548954132,23.03703704,0.047132107,3.3600000000000004e-05,1.0,180.0074074,2.9e-05,22.0,197.0,0.1,3.01e-05,249.9822222,8.59e-06,0.63,10.0,,23.0,30.0,0.1,3.53,23.11111111,2.114742,9.0,10.31290323,33.2,14.74193548,28.0,1.841693776,3.269383615,39.0,40.0,0.0248020679999999,5.0,24.2,163.4,167.6,1.002180515,400.0,23.9,24.0,10.32903226,204.9,0.0,22211.16129,1280.0,0.680769563,0.531590476,1,TRAIN_004,A_31,2022-06-13 5:47
,0.960848237,54.0,1.3,,7.809999999999999e-05,1.74e-05,40.1,414.0,28.551612899999995,3.89e-05,30.2,4.42,40.5,6677.0,1.903225806,25.18518519,8.0,0.0,0.1,29.94193548,46.93870968,0.035832562,2.123407244,0.049566459,23.88888889,16.7,0.0,,446.0,-5.0,580090.0,12.2,15.96296296,1.0,30.3,-2.0,,28.0,14.0,14.0,0.055333084,184.7,26.0,5.0,6.0,23.74074074,0.354398683,24.14814815,0.050872428,3.2e-05,0.0,179.9925926,5.56e-06,22.0,199.0,0.1,1.76e-05,249.9814815,3.7e-06,0.49,12.0,,16.0,30.0,0.1,2.5,22.62962963,2.280074866,9.0,10.37419355,33.2,13.64516129,28.0,1.789532494,3.711601838,24.0,40.0,0.023536829,2.0,24.2,157.8,164.6,1.5030941619999998,400.0,24.0,25.0,10.27419355,205.0,0.006651901,22278.41935,1280.0,0.483668381,0.537833333,2,TRAIN_005,A_31,2022-06-13 5:55
,2.337272031,47.0,1.3,,8.9e-05,2.51e-05,39.6,228.0,28.97741935,4.8700000000000005e-05,30.17419355,9.97,40.4,6693.0,0.322580645,24.03846154,8.23,0.0,0.3,29.90967742,46.948387100000005,0.027934465,1.773262904,0.023076974,22.92307692,17.8,0.0,,449.0,0.0,581880.0,15.3,16.44444444,1.0,30.4,12.0,,28.5,14.0,13.0,0.048157804,176.9,14.0,6.0,4.0,23.26923077,0.578715392,23.07692308,0.0563525909999999,3.17e-05,2.0,180.00769230000003,2.69e-05,22.0,179.0,0.1,3.05e-05,249.9819231,1.07e-05,0.52,4.0,,29.0,30.1,0.4,3.5,23.11538462,2.098971982,9.0,10.61612903,33.97741935,13.51612903,28.0,1.573383578,3.24950643,10.0,47.0,0.027379844,5.0,24.21612903,163.6,162.9,1.50327077,400.0,24.0,24.0,11.13548387,205.0,0.0,22346.51613,1280.0,0.610169472,0.5336650789999999,1,TRAIN_006,A_31,2022-06-13 6:03
,0.986027865,42.0,1.2,,7.54e-05,1.76e-05,39.61,414.0,28.66451613,3.91e-05,30.2,4.62,40.5,6713.0,2.967741935,25.23076923,8.0,0.0,0.0,29.95806452,46.05806452,0.040624428,2.239522388,0.055779097,23.84615385,16.6,0.0,,452.0,1.0,584160.0,15.5,15.37037037,1.0,30.4,18.0,,28.5,11.0,11.0,0.0560884959999999,173.8,14.0,4.0,4.0,23.61538462,0.334808829,24.07692308,0.058321322,2.4e-05,2.0,180.0115385,3.24e-06,23.0,209.0,0.1,1.74e-05,249.9819231,3.35e-06,0.72,8.0,,22.0,30.0,0.0,2.5,22.53846154,2.263297861,9.0,10.58064516,34.04838710000001,13.90322581,28.0,1.990254241,3.713222805,24.0,45.0,0.020781203,7.0,24.3,157.6,156.3,1.00206276,395.0,24.1,25.0,10.71290323,204.9,0.0,22438.3871,1280.0,0.413294555,0.540003175,2,TRAIN_007,A_31,2022-06-13 6:11
,2.427210162,51.0,1.8,,8.85e-05,2.6e-05,40.08,228.0,28.95483871,4.3e-05,30.21935484,9.93,40.6,6730.0,2.290322581,24.03703704,8.23,0.0,0.1,29.97096774,48.09354839,0.031597891,1.993443085,0.028287747,22.92592593,16.4,0.0,,455.0,-11.0,586130.0,12.3,16.11111111,1.0,30.4,7.0,,28.5,14.0,15.0,0.0523752429999999,173.8,14.0,5.0,6.0,23.2962963,0.592570356,23.03703704,0.053644007,3.86e-05,2.0,180.0185185,2.72e-05,23.0,216.0,0.0,3e-05,249.9814815,9.78e-06,0.7,5.0,,28.0,30.1,0.1,4.02,23.11111111,2.116043506,9.0,10.6,34.11612903,14.03225806,28.0,1.659081159,3.268514317,31.0,38.0,0.036258116,7.0,24.3,163.4,160.4,1.002180515,401.0,24.1,24.0,11.07741935,204.9,0.0,22516.41935,1280.0,0.636541324,0.531820635,1,TRAIN_008,A_31,2022-06-13 6:19
,0.991065461,43.0,0.9,,7.950000000000001e-05,1.59e-05,39.56,414.0,28.53870968,3.86e-05,30.22903226,4.59,40.5,6757.0,1.580645161,25.15384615,8.0,0.0,0.1,29.97419355,48.1483871,0.038219981,2.795491842,0.053215208,23.76923077,17.6,0.0,,460.0,-6.0,589210.0,23.7,15.85185185,1.0,30.4,-2.0,,28.0,18.0,11.0,0.0504551559999999,167.2,16.0,4.0,5.0,23.69230769,0.34769532,24.11538462,0.054759688,1.98e-05,3.0,180.0,2.68e-05,22.0,185.0,0.0,1.55e-05,249.9826923,3.27e-06,0.54,14.0,,30.0,30.0,0.1,2.5,22.53846154,2.276674074,9.0,10.51935484,33.74193548,14.38709677,28.0,1.920591361,3.684384652,20.0,38.0,0.034940602,2.0,24.4,163.5,140.8,1.5030941619999998,413.0,24.2,25.0,10.88064516,205.0,0.0,22637.35484,1280.0,0.441412099,0.5380492060000001,2,TRAIN_009,A_31,2022-06-13 6:28
